Ad ID,spend,convos,impressions,reach,clicks,months_active,objective,ad_name,campaign_name,cpr,ctr,cpm,Body,Title,Link Description,Campaign Objective,angle,hook_template,course_track
23852685070320516,0.0,0.0,0,0,0.0,38,Engagement,New Engagement ad,25/1/2023,,,,,,,,english_brand,,
23853242456480516,0.0,0.0,0,0,0.0,38,Messages,"المنشور: ‏""‏🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‏""‏","المنشور: ‏""‏🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‏""‏",,,,,,,,holiday_ramadan,,cross_track
23853645612050516,1100.0,50.0,51076,24290,124.0,38,Messages,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎","Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",22.0,0.24277547184587672,21.536533792779387,,,,,holiday_eid,,cross_track
23853741279100516,64.16,1.0,3410,2933,9.0,38,Messages,"المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏","المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏",64.16,0.26392961876832843,18.81524926686217,,,,,holiday_eid,,
23853803050550516,124.71,3.0,7461,6043,6.0,38,Engagement,EiD Fitr 22-4,New camp Eid Fetr 22-4,41.57,0.08041817450743868,16.71491757137113,,,,,holiday_eid,,
23853935257650516,822.96,67.0,58521,25231,162.0,38,Messages,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎","Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",12.282985074626867,0.2768237043112729,14.062644179012663,,,,,ambitious_students,,cross_track
23855277821320516,500.51,25.0,25832,15134,67.0,38,Messages,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎","Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",20.0204,0.2593682254567978,19.37558067513162,,,,,curriculum_dump,,
23855455828980516,0.0,0.0,0,0,0.0,38,Engagement,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎","‎Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎‎ – Copy",,,,,,,,curriculum_dump,,
23855455851660516,92.48,0.0,3051,2418,18.0,38,Engagement,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎","Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",inf,0.5899705014749262,30.311373320222877,,,,,curriculum_dump,,
23855486474250516,381.7,23.0,33044,21144,65.0,38,Engagement,Tstt 2023,test  summer 2023,16.59565217391304,0.19670742040915143,11.551264980026632,,,,,,,
