Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (EGP),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (EGP)",Link clicks,shop_clicks,CPC (cost per link click) (EGP),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (EGP),Landing page views,Cost per landing page view (EGP),Messaging conversations started,Ad ID,Ad set name,Campaign ID,Campaign name,Ad set ID,Reporting starts,Reporting ends,Bid,Bid type,Objective,Cost per messaging conversation started (EGP)
Promoting website: https://facebook.com/MuttahedaCenter.MTC,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243284464440517,[4/22/2026] Promoting https://facebook.com/MuttahedaCenter.MTC,120243284463640517,[4/22/2026] Promoting https://facebook.com/MuttahedaCenter.MTC,120243284464110517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
Promoting website: https://facebook.com/MuttahedaCenter.MTC,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243284531550517,[4/22/2026] Promoting https://facebook.com/MuttahedaCenter.MTC,120243284531300517,[4/22/2026] Promoting https://facebook.com/MuttahedaCenter.MTC,120243284531470517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
Instagram post: ‎لمهندسي الكهرباء والميكانيكا.....,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243579844120517,Instagram post: ‎لمهندسي الكهرباء والميكانيكا.....,120243579842160517,Instagram post: ‎لمهندسي الكهرباء والميكانيكا.....,120243579843090517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Traffic,
"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-06-25,-,-,-,0,0,,,,,0,0,0,,,,120210019015000517,"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",120210019014880517,"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",120210019014950517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-05-29,-,-,-,0,0,,,,,0,0,0,,,,120225357813610517,"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",120225357813320517,"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",120225357813380517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎لمهندسي المدني (إنشاءات وطرق).. أقوى عرض بخصم 50%...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243228761780517,"Post: ‎""‎لمهندسي المدني (إنشاءات وطرق).. أقوى عرض بخصم 50%...‎""‎",120243228759180517,"Post: ‎""‎لمهندسي المدني (إنشاءات وطرق).. أقوى عرض بخصم 50%...‎""‎",120243228759540517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎خلاص هيبدأوا.. آخر فرصة للحجز بخصم بيوصل 50% حقيقي!‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243228740780517,"Post: ‎""‎خلاص هيبدأوا.. آخر فرصة للحجز بخصم بيوصل 50% حقيقي!‎""‎",120243228739110517,"Post: ‎""‎خلاص هيبدأوا.. آخر فرصة للحجز بخصم بيوصل 50% حقيقي!‎""‎",120243228739560517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎لمهندسي الكهرباء والميكانيكا.. احترف الـ BIM بخصم...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120243228773140517,"Post: ‎""‎لمهندسي الكهرباء والميكانيكا.. احترف الـ BIM بخصم...‎""‎",120243228771150517,"Post: ‎""‎لمهندسي الكهرباء والميكانيكا.. احترف الـ BIM بخصم...‎""‎",120243228771820517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-06-16,-,-,-,0,0,,,,,0,0,0,,,,120209873608160517,"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",120209873608010517,"المنشور: ‏""‏30/6/2024 ده يوم مميز لكل المهندسين اللي هيبدأو...‏""‏",120209873608110517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-08-05,-,-,-,0,0,,,,,0,0,0,,,,120210762337570517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210762336890517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210762337040517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
