Ad ID,spend,convos,impressions,reach,clicks,months_active,objective,ad_name,campaign_name,cpr,ctr,cpm,Body,Title,Link Description,Campaign Objective,angle,hook_template,course_track
23853741279100516,64.16,1.0,3410,2933,9.0,38,Messages,"المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏","المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏",64.16,0.26392961876832843,18.81524926686217,,,,,holiday_eid,,
23853803050550516,124.71,3.0,7461,6043,6.0,38,Engagement,EiD Fitr 22-4,New camp Eid Fetr 22-4,41.57,0.08041817450743868,16.71491757137113,,,,,holiday_eid,,
23855277821320516,500.51,25.0,25832,15134,67.0,38,Messages,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎","Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",20.0204,0.2593682254567978,19.37558067513162,,,,,curriculum_dump,,
23855455851660516,92.48,0.0,3051,2418,18.0,38,Engagement,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎","Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",inf,0.5899705014749262,30.311373320222877,,,,,curriculum_dump,,
23855486474250516,381.7,23.0,33044,21144,65.0,38,Engagement,Tstt 2023,test  summer 2023,16.59565217391304,0.19670742040915143,11.551264980026632,,,,,,,
23855486675660516,9.82,0.0,837,811,1.0,38,Engagement,25-6-2023 AD,25-6-2023 TEST,inf,0.11947431302270012,11.732377538829152,,,,,,,
23856148750120516,4119.65,304.0,248059,60490,543.0,38,Engagement,Test 5/7/2023 Engineering,صيف 2023 بتاريخ 5/7/2023,13.551480263157893,0.21889953599748446,16.607540947919645,,,,,,,cross_track
23856549981060516,56.2,0.0,4755,3900,14.0,38,Engagement,"المنشور: ‏""‏لو زهقت من الكورسات او عندك عقدة.. مركز المتحدة...‏""‏","المنشور: ‏""‏لو زهقت من الكورسات او عندك عقدة.. مركز المتحدة...‏""‏",inf,0.29442691903259727,11.81913774973712,,,,,student_inertia,,
23856677809520516,111.98,4.0,7080,6397,23.0,38,Engagement,New Engagement ad,NEW 13/7/2023,27.995,0.3248587570621469,15.816384180790962,,,,,english_brand,,
23857963477720516,218.96,6.0,15359,10811,13.0,38,Messages,"المنشور: ‏""‏ب 2000 جنية  بدلا 4400 جنية بس هتقدر تاخد دبلومة...‏""‏","المنشور: ‏""‏ب 2000 جنية  بدلا 4400 جنية بس هتقدر تاخد دبلومة...‏""‏",36.49333333333333,0.08464092714369424,14.256136467217917,,,,,,,
120200314809410517,1225.75,67.0,74348,37398,65.0,38,Engagement,تفاعل رسائل,TEST 22-10,18.294776119402986,0.0874266960779039,16.486657341152416,,,,,,,
120203814439220517,1359.52,60.0,100145,26706,169.0,38,Engagement,New Engagement ad,نص السنة 2024,22.658666666666665,0.16875530480802836,13.575515502521343,,,,,english_brand,,
120205712506100517,100.0,17.0,5451,3764,39.0,38,Messages,Promoting website: https://facebook.com/MuttahedaCenter.MTC,[02/20/2024] Promoting https://facebook.com/MuttahedaCenter.MTC,5.882352941176471,0.7154650522839846,18.3452577508714,,,,,,,
120206337637660517,193.64,6.0,11634,8400,38.0,38,Messages,Promoting website: https://facebook.com/MuttahedaCenter.MTC,[03/04/2024] Promoting https://facebook.com/MuttahedaCenter.MTC,32.27333333333333,0.3266288464844422,16.64431837717036,,,,,,,
120206474912170517,156.82,4.0,7110,4843,25.0,38,Engagement,New messages ad,New messages campaign,39.205,0.35161744022503516,22.056258790436004,,,,,english_brand,,
120207066441040517,250.0,18.0,8724,4129,35.0,38,Messages,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎","Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",13.88888888888889,0.40119211370930763,28.65657955066483,,,,,,,mechanical
120207350537830517,267.68,13.0,10910,6103,42.0,38,Messages,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎","Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",20.590769230769233,0.384967919340055,24.535288725939505,,,,,,,mechanical
120209696216450517,728.04,29.0,43215,25554,87.0,38,Engagement,New Engagement Ad with recommended settings,Seeef 2024,25.104827586206895,0.20131898646303367,16.84692814994793,,,,,english_brand,,
120209812111160517,306.75,10.0,10770,6036,19.0,38,Engagement,الديكور والماكس,ديكور وماكس,30.675,0.1764159702878366,28.48189415041783,,,,,,,interior_design
120210209924680517,382.69,8.0,12967,7694,24.0,38,Engagement,خصومات الصيف ماكس وريفيت وديكور,خصومات الصيف 2,47.83625,0.18508521631834657,29.512608930361687,,,,,,,interior_design
120210373282650517,250.0,6.0,7054,4230,24.0,38,Messages,"المنشور: ‏""‏انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‏""‏","المنشور: ‏""‏انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‏""‏",41.666666666666664,0.3402324922030054,35.44088460447973,,,,,,,
120210434210880517,9.16,0.0,623,606,10.0,38,Engagement,"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎","Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",inf,1.6051364365971106,14.703049759229534,,,,,,,
120210514266280517,112.12,4.0,2921,2211,16.0,38,Engagement,Courses 17-7-2024,New Courses 17-7-2024,28.03,0.5477576172543649,38.384115029099625,,,,,,,
120210747470800517,86.85,0.0,2061,1360,2.0,38,Messages,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎","Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",inf,0.09704027171276079,42.13973799126637,,,,,,,cross_track
120210762337570517,1500.0,64.0,61065,20077,204.0,38,Messages,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎","Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",23.4375,0.33407025300908866,24.563989191844758,,,,,,,cross_track
120211452996030517,1665.28,89.0,73514,37390,262.0,38,Engagement,New Ad 29-8-2024,New Offers 29-8-2024,18.711011235955056,0.35639470032918896,22.652555975732515,,,,,,,
120213061298830517,240.29,13.0,5040,3492,22.0,38,Messages,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎","Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎",18.48384615384615,0.4365079365079365,47.676587301587304,,,,,,,cross_track
120213063899690517,368.08,14.0,11010,8783,45.0,38,Engagement,New Engagement Ad,Casoural ad,26.291428571428572,0.4087193460490463,33.43142597638511,,,,,english_brand,,
120213158197770517,999.49,58.0,20396,11159,116.0,38,Engagement,"Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎","‎Post: ‎""‎خصومات هتخليك تحضر كل الكورسات الهندسية بأسعار...‎""‎‎ - Copy",17.232586206896553,0.5687389684251815,49.00421651304177,,,,,,,cross_track
120214154521170517,120.88,1.0,1939,1530,5.0,38,Engagement,New Engagement Ad with recommended settings,New Engagement Campaign with recommended settings,120.88,0.25786487880350695,62.34141309953584,,,,,english_brand,,
120214686263870517,282.61,9.0,4612,3220,12.0,38,Messages,منشور Instagram: ‏**💥 خصم كبير للمجموعات! يلا جمع...,منشور Instagram: ‏**💥 خصم كبير للمجموعات! يلا جمع...,31.401111111111113,0.26019080659150046,61.277103209019955,,,,,generic_discount,,
120214691236080517,2503.5600000000004,125.0,33333,8341,183.0,38,Engagement,Midterm 2025,Mtc midterm 2025,20.028480000000002,0.5490054900549005,75.10755107551077,,,,,,,
120215943485350517,92.85,4.0,1897,1355,8.0,38,Messages,"Post: ‎""‎🎓 لو انت طالب أو مهندس وعايز تتعلم البرامج...‎""‎","Post: ‎""‎🎓 لو انت طالب أو مهندس وعايز تتعلم البرامج...‎""‎",23.2125,0.42171850289931473,48.94570374275171,,,,,,,cross_track
120215943742280517,125.55,1.0,1796,1616,3.0,38,Messages,منشور Instagram: ‏لو انت طالب أو مهندس وعايز...,منشور Instagram: ‏لو انت طالب أو مهندس وعايز...,125.55,0.16703786191536749,69.90534521158129,,,,,,,cross_track
120215944354410517,114.63,2.0,2290,1912,2.0,38,Messages,منشور Instagram: ‏لو انت طالب أو مهندس وعايز...,منشور Instagram: ‏لو انت طالب أو مهندس وعايز...,57.315,0.08733624454148471,50.056768558951966,,,,,,,cross_track
120216036460990517,758.38,32.0,16776,10458,74.0,38,Messages,"Post: ‎""‎لو انت طالب أو مهندس وعايز تتعلم البرامج الهندسية...‎""‎","Post: ‎""‎لو انت طالب أو مهندس وعايز تتعلم البرامج الهندسية...‎""‎",23.699375,0.441106342393896,45.20624701955174,,,,,,,cross_track
120217514207490517,219.55,8.0,3577,2442,17.0,38,Engagement,New Engagement Ad with recommended settings,Ramadan 2025,27.44375,0.4752585965893207,61.378249930109035,,,,,english_brand,,
120217545871690517,174.01,3.0,4042,3334,6.0,38,Engagement,New Engagement Ad with recommended settings,New Ramadan 4-3-2025,58.00333333333333,0.14844136566056407,43.050470064324585,,,,,english_brand,,
120217586123570517,248.46,6.0,2874,2026,9.0,38,Engagement,New Engagement Ad with recommended settings,new ramadan 2 - 5/3/2025,41.410000000000004,0.31315240083507306,86.45093945720251,,,,,english_brand,,
120224738941850517,319.97,29.0,8834,5935,80.0,38,Messages,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎","Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",11.033448275862069,0.905592030790129,36.2202852614897,,,,,,E,
120224806910540517,999.27,91.0,34929,18989,276.0,38,Messages,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎","Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",10.980989010989012,0.7901743536889118,28.608606029373874,,,,,,E,
120226709068740517,968.74,67.0,37179,20155,186.0,38,Engagement,Engineering Students 2025 - 02,Engineering Students Summer 2025,14.458805970149253,0.5002824174937465,26.056106942090967,,,,,,,cross_track
120227819347640517,875.28,25.0,12889,5853,46.0,38,Messages,"Messages Ad: ‎🎯 ""الفرصة الأخيرة قبل اكتمال المقاعد!""‎","Messages Ad: ‎🎯 ""الفرصة الأخيرة قبل اكتمال المقاعد!""‎",35.0112,0.3568934750562495,67.90906974939871,,,,,,,
120228079259990517,2296.78,140.0,97063,42229,535.0,38,Messages,Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎,Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎,16.40557142857143,0.5511884034080957,23.662775722984044,,,,,,,
120230505832910517,467.4,42.0,8723,4308,87.0,38,Messages,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎","Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",11.128571428571428,0.9973632924452598,53.58248309067981,,,,,,,
