"Ad name",Age,Gender,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,female,not_delivering,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,0,0,20.36,"Using campaign budget",0,264.68,2023-04-18,-,-,-,10842,24.41247,24,,11.028333,0.221361,194,1.789338,1.36433,,,13,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,20.36
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,male,not_delivering,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,0,0,26.14466667,"Using campaign budget",0,392.17,2023-04-18,-,-,-,22920,17.110384,55,,7.130364,0.239965,392,1.710297,1.000434,,,15,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,26.144667
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.48,2023-04-18,-,-,-,10,48,,,,,0,0,0,,,,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,female,not_delivering,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,0,0,23.468,"Using campaign budget",0,117.34,2023-04-18,-,-,-,3337,35.16332,7,,16.762857,0.209769,70,2.097693,1.676286,,,5,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,23.468
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,male,not_delivering,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,0,0,19.07058824,"Using campaign budget",0,324.2,2023-04-18,-,-,-,13943,23.251811,38,,8.531579,0.272538,290,2.079897,1.117931,,,17,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,19.070588
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",25-34,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,1.13,2023-04-18,-,-,-,24,47.083333,,,,,0,0,0,,,,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"EiD Fitr 22-4",18-24,female,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,27.8,Ongoing,-,-,-,1377,20.188816,,,,,18,1.30719,1.544444,,,,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"EiD Fitr 22-4",18-24,male,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,43.94,"Using campaign budget",0,43.94,Ongoing,-,-,-,3369,13.042446,1,,43.94,0.029682,47,1.395073,0.934894,,,1,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,43.94
"EiD Fitr 22-4",18-24,unknown,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,0.03,Ongoing,-,-,-,4,7.5,,,,,0,0,0,,,,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"EiD Fitr 22-4",25-34,female,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,11.63,"Using campaign budget",0,11.63,Ongoing,-,-,-,500,23.26,2,,5.815,0.4,9,1.8,1.292222,,,1,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,11.63
