"Ad name",Country,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",EG,not_delivering,"7-day click or 1-day view",50,actions:onsite_conversion.messaging_conversation_started_7d,0,0,22,"Using campaign budget",0,1100,2023-04-18,-,-,-,51076,21.536534,124,,8.870968,0.242775,946,1.852142,1.162791,,,50,23853645612050516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645611910516,"Post: ‎""‎سجل معانا كورسات هندسية بعد العيد .. واستفيد...‎""‎",23853645612010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,22
"المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏",EG,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,64.16,"Using campaign budget",0,64.16,2023-04-24,-,-,-,3410,18.815249,9,,7.128889,0.26393,60,1.759531,1.069333,,,1,23853741279100516,"المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏",23853741278410516,"المنشور: ‏""‏العيدية السنة من مركز المتحدة للتدريب بتوصل 🥳 50%...‏""‏",23853741279010516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,64.16
"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",EG,not_delivering,"7-day click or 1-day view",25,actions:onsite_conversion.messaging_conversation_started_7d,0,0,20.0204,"Using campaign budget",0,500.51,2023-06-25,-,-,-,25832,19.375581,67,,7.470299,0.259368,641,2.481418,0.780827,,,25,23855277821320516,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",23855277820000516,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",23855277820790516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,20.0204
"Test 5/7/2023 Engineering",EG,not_delivering,"7-day click or 1-day view",304,actions:onsite_conversion.messaging_conversation_started_7d,0,0,13.55148026,"Using campaign budget",0,4119.65,Ongoing,-,-,-,248059,16.607541,543,,7.586832,0.2189,5605,2.259543,0.734996,,,304,23856148750120516,"تجربة 5/7/2023",23856148748820516,"صيف 2023 بتاريخ 5/7/2023",23856148749450516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,13.55148
"خصومات الصيف ماكس وريفيت وديكور",EG,not_delivering,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,0,0,47.83625,500,Daily,382.69,Ongoing,-,-,-,12967,29.512609,24,,15.945417,0.185085,303,2.336701,1.263003,,,8,120210209924680517,"خصومات الصيف ماكس وريفيت وديكور 3-7-2024",120210209924670517,"خصومات الصيف 2",120210209924660517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,47.83625
"EiD Fitr 22-4",EG,not_delivering,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,0,0,41.57,"Using campaign budget",0,124.71,Ongoing,-,-,-,7461,16.714918,6,,20.785,0.080418,107,1.434124,1.165514,,,3,23853803050550516,"EID Fitr",23853803050450516,"New camp Eid Fetr 22-4",23853803050490516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,41.57
"New Ad 29-8-2024",EG,not_delivering,"7-day click or 1-day view",89,actions:onsite_conversion.messaging_conversation_started_7d,0,0,18.71101124,180,Daily,1665.28,Ongoing,-,-,-,73514,22.652556,262,,6.356031,0.356395,1706,2.320646,0.976131,,,89,120211452996030517,"New 29-8-2024 Offers",120211452996040517,"New Offers 29-8-2024",120211452996050517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,18.711011
"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",EG,not_delivering,"7-day click or 1-day view",121,actions:post_engagement,0,0,0.76429752,"Using campaign budget",0,92.48,2023-06-29,-,-,-,3051,30.311373,18,,5.137778,0.589971,131,4.293674,0.705954,,,,23855455851660516,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",23855455851590516,"Post: ‎""‎حققنا المعادلة الصعبة السنة دي في كورسات الصيف من...‎""‎",23855455851640516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"المنشور: ‏""‏لو زهقت من الكورسات او عندك عقدة.. مركز المتحدة...‏""‏",EG,not_delivering,"7-day click or 1-day view",126,actions:post_engagement,0,0,0.44603175,"Using campaign budget",0,56.2,2023-07-15,-,-,-,4755,11.819138,14,,4.014286,0.294427,96,2.018927,0.585417,,,,23856549981060516,"المنشور: ‏""‏لو زهقت من الكورسات او عندك عقدة.. مركز المتحدة...‏""‏",23856549980830516,"المنشور: ‏""‏لو زهقت من الكورسات او عندك عقدة.. مركز المتحدة...‏""‏",23856549980910516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",EG,not_delivering,"7-day click or 1-day view",18,actions:onsite_conversion.messaging_conversation_started_7d,0,0,27.70333333,"Using campaign budget",0,498.66,2024-07-06,-,-,-,14407,34.612341,31,,16.085806,0.215173,331,2.297494,1.506526,,,18,120210249526790517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210249526470517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210249526700517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,27.703333
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",EG,not_delivering,"7-day click or 1-day view",67,actions:onsite_conversion.messaging_conversation_started_7d,0,0,12.28298507,"Using campaign budget",0,822.96,2023-05-03,-,-,-,58521,14.062644,162,,5.08,0.276824,1530,2.614446,0.537882,,,67,23853935257650516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257530516,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",23853935257600516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,12.282985
"Post: ‎""‎لاول مرة في مصر.. هتفــــــهم السيفيل ثري دي...‎""‎",EG,not_delivering,"7-day click or 1-day view",47,actions:onsite_conversion.messaging_conversation_started_7d,0,0,15.0506383,"Using campaign budget",0,707.38,Ongoing,-,-,-,28474,24.843015,125,,5.65904,0.438997,674,2.367072,1.049525,,,47,120211663670600517,"Post: ‎""‎لاول مرة في مصر.. هتفــــــهم السيفيل ثري دي...‎""‎",120211663670450517,"Post: ‎""‎لاول مرة في مصر.. هتفــــــهم السيفيل ثري دي...‎""‎",120211663670510517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,15.050638
"Tstt 2023",EG,not_delivering,"7-day click or 1-day view",23,actions:onsite_conversion.messaging_conversation_started_7d,0,0,16.59565217,"Using campaign budget",0,381.7,Ongoing,-,-,-,33044,11.551265,65,,5.872308,0.196707,567,1.715894,0.673192,,,23,23855486474250516,"New Engagement ad set",23855486474100516,"test  summer 2023",23855486474150516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,16.595652
"New Engagement ad",EG,not_delivering,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,0,0,27.995,"Using campaign budget",0,111.98,Ongoing,-,-,-,7080,15.816384,23,,4.868696,0.324859,148,2.090395,0.756622,,,4,23856677809520516,"New 13/7/2023",23856677809140516,"NEW 13/7/2023",23856677809300516,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,27.995
"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",EG,not_delivering,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,0,0,35.71428571,"Using campaign budget",0,500,2024-07-07,-,-,-,17169,29.122255,28,,17.857143,0.163085,345,2.009436,1.449275,,,14,120210276176800517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210276174390517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210276176580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,35.714286
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",EG,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,82.66,"Using campaign budget",0,82.66,2024-08-24,-,-,-,1868,44.250535,1,,82.66,0.053533,58,3.104925,1.425172,,,1,120211275815040517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275813920517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120211275814200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,82.66
